clientes;status;genero;compras;regiao;pagto;qtde;pedido;amostras
1;0;0;1;1;1;2;400;Treino
2;0;0;1;0;1;1;1000;Treino
3;0;0;1;0;1;1;100;Treino
4;0;1;1;0;1;1;200;Teste
5;0;0;1;0;1;5;500;Teste
6;1;0;2;0;1;2;400;Teste
7;0;0;1;0;0;1;100;Teste
8;1;0;2;0;1;2;400;Teste
9;0;0;8;0;1;2;500;Teste
10;0;1;1;0;1;2;200;Teste
11;0;0;1;0;1;1;200;Teste
12;0;0;1;1;1;1;400;Teste
13;1;0;2;0;1;1;100;Teste
14;1;0;2;1;1;1;100;Teste
15;1;0;1;0;1;2;300;Treino
16;0;0;1;1;1;1;300;Treino
17;0;0;1;1;1;1;400;Teste
18;1;0;1;0;1;1;300;Treino
19;0;0;3;0;1;4;900;Treino
20;0;0;2;0;1;1;200;Teste
21;1;0;1;0;1;1;400;Treino
22;0;0;14;0;0;4;2000;Treino
23;0;0;2;0;0;1;400;Teste
24;0;0;1;0;1;1;100;Teste
25;1;0;2;0;1;1;100;Treino
26;0;0;1;1;1;1;400;Teste
27;1;0;3;0;1;3;600;Teste
28;0;0;1;0;1;1;300;Treino
29;0;0;1;1;1;4;1000;Treino
30;0;0;1;0;1;1;200;Teste
31;0;0;7;0;1;1;300;Treino
32;0;0;1;1;1;1;1000;Treino
33;0;0;1;0;1;1;100;Treino
34;0;0;9;0;1;1;400;Treino
35;0;0;2;1;1;2;200;Treino
36;1;0;2;0;1;1;100;Teste
37;0;0;4;0;1;1;100;Treino
38;0;0;4;0;1;1;200;Teste
39;0;0;1;0;1;1;300;Treino
40;0;0;2;0;1;1;200;Treino
41;0;0;1;0;1;3;1000;Treino
42;1;1;1;0;1;1;90;Teste
43;0;0;1;0;1;1;300;Treino
44;0;0;1;0;1;1;200;Treino
45;0;0;2;0;1;1;300;Treino
46;0;0;2;1;1;1;100;Teste
47;0;0;7;0;1;1;200;Teste
48;1;0;9;0;1;1;300;Treino
49;0;0;5;0;1;1;600;Treino
50;0;0;1;0;1;2;200;Teste
51;0;0;1;0;1;1;100;Treino
52;0;0;1;0;1;1;100;Teste
53;1;0;2;1;1;4;1000;Treino
54;1;0;1;0;1;1;500;Teste
55;0;1;1;0;1;1;100;Teste
56;0;1;1;0;1;1;100;Treino
57;1;0;7;0;1;1;400;Teste
58;0;0;1;0;1;1;300;Treino
59;0;0;2;1;1;2;400;Teste
60;0;0;2;0;1;3;800;Treino
61;0;0;1;1;1;1;400;Teste
62;1;0;1;0;1;1;100;Treino
63;0;0;1;0;1;1;100;Teste
64;0;0;5;0;1;1;300;Teste
65;0;0;1;1;1;2;800;Treino
66;1;0;1;1;1;1;200;Teste
67;0;0;7;0;1;1;400;Teste
68;0;0;3;0;1;2;100;Teste
69;0;0;1;0;1;1;200;Teste
70;0;0;1;1;1;1;300;Teste
71;1;0;2;0;1;1;200;Treino
72;1;0;3;0;1;2;500;Treino
73;0;0;2;1;1;1;400;Treino
74;0;0;1;1;1;1;100;Teste
75;0;0;1;1;1;1;100;Treino
76;1;1;9;1;1;1;200;Teste
77;0;0;1;0;1;1;90;Treino
78;1;0;3;0;1;2;400;Teste
79;0;1;1;0;1;1;100;Treino
80;1;0;1;0;1;1;100;Teste
81;0;0;2;1;1;4;700;Treino
82;0;0;2;0;1;7;2000;Teste
83;1;0;2;0;1;4;1000;Treino
84;0;0;2;1;1;1;300;Treino
85;1;1;1;1;1;10;4000;Teste
86;0;0;1;1;1;3;1000;Treino
87;0;0;5;1;1;2;200;Teste
88;0;0;2;0;1;2;200;Teste
89;0;0;1;0;1;1;200;Treino
90;1;0;1;0;1;1;200;Teste
91;0;0;1;0;1;2;200;Treino
92;1;0;1;0;1;1;400;Teste
93;0;0;1;0;0;2;200;Treino
94;0;0;1;0;1;1;300;Teste
95;0;0;1;0;1;1;200;Teste
96;1;0;1;0;1;1;100;Teste
97;0;0;1;0;1;2;500;Treino
98;1;0;1;0;1;1;500;Teste
99;1;0;3;0;1;2;700;Treino
100;0;0;1;0;1;1;200;Teste
101;0;0;3;0;1;1;300;Teste
102;1;1;9;1;1;1;100;Teste
103;1;0;2;0;1;1;200;Treino
104;1;0;1;0;1;1;100;Treino
105;0;0;6;1;1;4;1000;Treino
106;1;0;3;0;1;1;300;Treino
107;0;0;6;1;1;5;600;Teste
108;0;0;1;1;1;2;100;Treino
109;1;0;9;0;1;1;300;Teste
110;0;0;1;0;1;2;600;Treino
111;1;0;9;0;1;2;200;Treino
112;0;0;3;0;1;2;700;Teste
113;0;0;2;0;1;2;700;Teste
114;0;0;14;0;1;4;2000;Treino
115;1;0;2;0;1;1;300;Teste
116;0;0;1;1;0;3;300;Treino
117;0;0;5;0;1;1;400;Treino
118;0;0;1;0;1;1;400;Teste
119;0;0;1;1;1;2;1000;Treino
120;0;0;1;0;1;1;400;Teste
121;0;0;2;0;1;1;300;Treino
122;1;0;1;0;1;1;1000;Teste
123;0;0;2;0;1;1;100;Teste
124;1;0;2;1;1;1;100;Treino
125;1;0;1;0;1;1;400;Teste
126;0;0;2;1;1;2;200;Treino
127;0;0;3;0;1;1;200;Treino
128;0;0;1;0;1;1;100;Teste
129;0;0;1;0;1;1;100;Treino
130;0;0;2;1;1;1;800;Treino
131;1;0;1;0;1;1;300;Treino
132;1;0;1;0;1;2;300;Teste
133;1;0;1;0;1;2;100;Treino
134;0;0;1;0;1;1;100;Teste
135;0;0;1;0;1;3;300;Treino
136;0;0;4;0;1;1;100;Teste
137;0;0;1;0;1;1;300;Teste
138;1;0;4;0;1;1;100;Treino
139;0;0;2;0;1;1;400;Teste
140;0;0;1;0;0;1;200;Treino
141;1;0;1;1;1;1;300;Treino
142;1;0;3;0;1;3;400;Teste
143;0;1;4;0;1;1;100;Treino
144;1;0;1;0;1;1;200;Teste
145;0;0;2;0;1;1;100;Treino
146;0;0;1;0;1;1;90;Teste
147;0;0;4;0;1;1;200;Treino
148;0;0;2;0;1;1;400;Treino
149;1;0;3;1;0;1;300;Teste
150;0;0;2;0;1;3;900;Treino
151;0;0;1;0;0;1;300;Teste
152;0;0;1;0;1;1;300;Teste
153;1;0;3;0;1;1;100;Teste
154;0;0;14;0;1;1;300;Teste
155;0;0;1;0;1;1;100;Teste
156;0;0;2;0;1;1;300;Treino
157;0;0;14;0;0;4;1000;Teste
158;1;1;9;1;1;1;100;Teste
159;0;0;1;1;1;1;200;Teste
160;1;0;8;0;1;1;200;Teste
161;0;0;1;0;1;1;200;Treino
162;0;0;3;0;1;3;1000;Treino
163;0;0;5;1;1;7;1000;Treino
164;0;0;3;0;1;1;100;Treino
165;0;1;1;1;1;1;300;Teste
166;1;0;4;0;1;1;400;Teste
167;0;0;3;0;1;1;100;Treino
168;1;0;1;0;1;2;200;Treino
169;0;0;2;1;1;2;600;Treino
170;0;0;4;0;1;1;300;Teste
171;1;0;1;0;1;3;1000;Teste
172;0;0;2;0;1;2;600;Teste
173;0;0;1;1;0;2;600;Treino
174;1;0;1;0;1;1;100;Teste
175;0;0;1;0;1;2;700;Teste
176;0;0;2;0;1;1;1000;Treino
177;1;0;1;1;1;1;200;Teste
178;1;0;3;0;1;1;1000;Teste
179;1;0;2;0;1;1;300;Treino
180;1;0;3;1;1;1;300;Treino
181;0;0;2;1;1;1;100;Treino
182;0;0;6;1;1;2;1000;Teste
183;0;0;2;0;1;2;600;Teste
184;0;0;1;0;1;1;100;Teste
185;0;0;1;1;1;1;100;Treino
186;0;0;5;0;1;1;400;Teste
187;1;0;2;0;1;2;1000;Treino
188;1;0;3;1;1;2;500;Teste
189;0;0;2;0;1;1;400;Teste
190;1;0;2;0;1;1;400;Treino
191;0;0;2;0;1;1;100;Teste
192;1;0;2;0;1;1;200;Treino
193;1;0;1;0;1;1;90;Treino
194;0;0;3;0;1;1;100;Treino
195;0;0;8;0;1;1;300;Teste
196;1;0;9;0;1;1;100;Teste
197;0;0;4;0;1;1;300;Treino
198;0;0;1;1;1;1;400;Treino
199;0;0;1;1;1;1;100;Treino
200;1;0;2;0;1;1;400;Teste
201;1;0;3;0;1;1;1000;Treino
202;1;0;2;0;1;2;600;Teste
203;1;1;9;1;1;1;300;Treino
204;0;0;2;1;1;1;200;Teste
205;0;0;3;0;1;1;300;Treino
206;1;0;1;0;1;1;300;Teste
207;0;0;1;1;0;1;200;Teste
208;0;0;2;0;1;1;300;Treino
209;0;0;2;0;1;1;700;Treino
210;0;0;2;0;1;2;800;Teste
211;1;0;8;0;1;3;700;Teste
212;1;0;1;0;1;3;300;Teste
213;0;0;1;0;1;1;100;Teste
214;1;0;1;1;1;1;100;Treino
215;0;0;1;0;1;1;400;Teste
216;0;0;4;0;1;1;500;Teste
217;1;0;1;0;0;1;200;Treino
218;0;0;2;1;1;3;700;Treino
219;1;1;9;1;1;1;100;Treino
220;0;0;1;0;1;1;300;Treino
221;0;0;1;0;1;1;100;Treino
222;0;0;4;1;1;3;400;Treino
223;0;0;2;0;1;2;100;Teste
224;0;0;4;0;1;8;2000;Treino
225;0;0;4;0;1;1;200;Teste
226;1;0;2;0;1;1;90;Teste
227;0;0;3;0;1;2;100;Teste
228;0;0;1;1;1;1;500;Teste
229;1;0;1;0;1;2;300;Treino
230;0;0;1;1;1;1;400;Teste
231;0;0;6;1;1;3;900;Treino
232;0;0;1;0;1;1;300;Teste
233;0;0;5;0;1;1;200;Treino
234;0;1;1;0;1;1;100;Treino
235;1;0;1;1;1;1;400;Treino
236;0;0;1;1;1;1;300;Teste
237;0;0;2;0;1;1;100;Teste
238;0;0;1;0;1;1;100;Teste
239;1;0;5;1;1;1;100;Treino
240;0;0;5;1;1;1;200;Teste
241;0;0;1;0;1;1;600;Treino
242;0;0;2;0;1;1;300;Treino
243;0;0;3;1;1;2;900;Teste
244;1;0;3;0;1;1;300;Teste
245;0;0;1;0;1;1;100;Teste
246;0;0;1;1;1;1;200;Teste
247;0;0;3;1;1;3;700;Treino
248;0;0;1;0;1;1;300;Treino
249;1;0;4;0;1;2;400;Teste
250;1;0;2;0;1;6;2000;Teste
251;0;0;1;0;1;2;600;Teste
252;0;0;1;0;1;1;300;Treino
253;0;0;6;1;1;1;400;Treino
254;0;0;2;0;1;1;300;Teste
255;0;0;2;0;1;1;100;Treino
256;1;0;1;0;1;1;100;Treino
257;0;0;1;0;1;1;300;Teste
258;1;0;2;1;1;1;100;Teste
259;0;0;1;0;1;1;100;Teste
260;0;0;2;0;0;1;400;Treino
261;0;0;2;0;1;1;300;Teste
262;0;0;4;0;1;2;1000;Teste
263;1;0;6;1;1;4;1000;Teste
264;0;0;1;1;1;1;300;Teste
265;1;1;9;1;1;2;500;Teste
266;0;0;6;1;1;7;2000;Teste
267;0;0;1;1;0;4;700;Teste
268;0;0;1;0;1;4;1000;Treino
269;0;0;1;1;1;1;300;Teste
270;0;0;1;0;1;1;200;Treino
271;1;0;2;1;1;2;500;Treino
272;1;0;4;1;1;2;300;Teste
273;1;0;3;0;1;1;1000;Treino
274;1;0;1;0;1;1;300;Teste
275;1;0;1;0;1;1;200;Teste
276;1;0;1;0;1;1;300;Teste
277;0;0;1;1;1;1;200;Treino
278;0;0;2;1;1;1;100;Teste
279;0;0;2;0;1;1;1000;Treino
280;1;0;1;1;1;8;1000;Treino
281;0;0;14;0;1;6;1000;Teste
282;0;0;14;0;0;3;400;Treino
283;0;0;14;0;1;2;300;Teste
284;1;0;2;0;1;1;1000;Treino
285;1;0;4;0;1;2;400;Treino
286;0;0;1;1;1;1;100;Teste
287;0;0;1;0;1;1;400;Treino
288;0;0;1;0;1;1;100;Teste
289;1;0;1;0;1;1;400;Teste
290;0;0;3;0;1;1;90;Treino
291;0;0;2;1;1;1;500;Treino
292;1;0;1;1;1;1;300;Teste
293;1;0;1;0;1;1;90;Treino
294;1;0;2;0;1;1;300;Treino
295;0;0;4;0;1;1;200;Treino
296;0;0;1;1;1;1;100;Teste
297;1;0;1;0;1;1;100;Teste
298;0;0;5;0;1;2;500;Teste
299;0;0;1;0;1;3;200;Treino
300;1;0;1;0;1;5;1000;Treino
301;1;0;3;0;1;3;500;Teste
302;1;0;9;0;1;2;200;Teste
303;0;0;1;0;1;1;200;Teste
304;1;0;3;0;1;3;400;Treino
305;0;0;1;1;1;1;100;Treino
306;1;1;9;1;1;2;500;Teste
307;1;0;2;0;1;1;400;Treino
308;0;0;6;1;1;8;1000;Teste
309;0;0;1;0;1;1;100;Treino
310;0;0;1;0;4;9;2000;Teste
311;1;0;4;0;1;2;200;Teste
312;0;0;1;0;1;1;400;Teste
313;1;0;1;0;1;1;300;Teste
314;0;0;2;0;1;1;100;Teste
315;0;0;4;0;1;2;200;Treino
316;0;0;2;0;1;2;500;Treino
317;0;0;1;1;1;2;600;Teste
318;0;1;1;0;1;1;200;Teste
319;0;0;1;1;1;2;400;Teste
320;0;0;1;0;1;2;700;Treino
321;0;0;1;0;1;1;100;Treino
322;0;0;1;0;1;2;200;Teste
323;1;1;1;0;1;1;400;Teste
324;0;1;4;1;1;1;600;Treino
325;0;0;1;0;1;1;1000;Teste
326;1;0;4;0;1;2;200;Treino
327;0;0;3;0;1;1;300;Treino
328;0;0;1;0;1;1;200;Teste
329;0;0;1;0;1;1;100;Treino
330;1;0;8;0;1;3;800;Treino
331;0;1;4;1;1;2;300;Teste
332;0;0;1;0;1;1;100;Teste
333;0;0;2;1;1;1;500;Teste
334;0;0;1;0;1;2;300;Treino
335;1;0;8;0;1;1;400;Teste
336;0;0;4;0;1;1;100;Treino
337;0;0;2;0;1;1;300;Teste
338;1;0;1;1;1;1;100;Treino
339;0;0;1;0;1;1;200;Treino
340;1;0;1;0;1;1;100;Teste
341;0;0;1;0;1;3;500;Teste
342;0;0;3;1;1;3;1000;Teste
343;0;0;2;1;1;1;300;Treino
344;0;0;2;1;1;1;300;Teste
345;1;0;2;1;1;2;200;Treino
346;1;0;1;0;1;1;200;Treino
347;0;0;1;1;1;1;100;Teste
348;1;0;3;0;1;1;500;Teste
349;1;0;3;0;1;1;100;Treino
350;0;0;1;1;1;1;90;Teste
351;1;0;2;1;1;1;600;Teste
352;0;0;1;0;1;1;300;Teste
353;1;0;3;0;1;1;600;Treino
354;0;0;1;1;1;1;300;Treino
355;0;0;2;0;1;2;1000;Treino
356;0;0;1;1;1;1;300;Treino
357;1;0;2;1;1;1;100;Treino
358;0;0;1;0;1;1;500;Treino
359;0;0;1;1;1;3;1000;Treino
360;0;0;1;0;1;1;100;Teste
361;1;0;1;0;1;1;500;Treino
362;1;0;2;1;1;3;1000;Teste
363;0;0;1;0;1;1;100;Teste
364;0;0;6;1;1;10;2000;Teste
365;1;0;1;0;1;1;200;Teste
366;0;0;2;0;1;1;300;Teste
