clientes;status;genero;compras;regiao;pagto;qtde;pedido
1;0;0;1;1;2;2;400
2;0;0;1;0;1;1;1000
3;0;0;1;0;2;1;100
4;0;1;1;0;2;1;200
5;0;0;1;0;2;5;500
6;1;0;2;0;2;2;400
7;0;0;1;0;3;1;100
8;1;0;2;0;2;2;400
9;0;0;8;0;1;2;500
10;0;1;1;0;2;2;200
11;0;0;1;0;2;1;200
12;0;0;1;1;2;1;400
13;1;0;2;0;1;1;100
14;1;0;2;1;1;1;100
15;1;0;1;0;1;2;300
16;0;0;1;1;1;1;300
17;0;0;1;1;2;1;400
18;1;0;1;0;2;1;300
19;0;0;3;0;2;4;900
20;0;0;2;0;2;1;200
21;1;0;1;0;1;1;400
22;0;0;14;0;3;4;2000
23;0;0;2;0;3;1;400
24;0;0;1;0;1;1;100
25;1;0;2;0;1;1;100
26;0;0;1;1;2;1;400
27;1;0;3;0;1;3;600
28;0;0;1;0;1;1;300
29;0;0;1;1;2;4;1000
30;0;0;1;0;2;1;200
31;0;0;7;0;2;1;300
32;0;0;1;1;2;1;1000
33;0;0;1;0;2;1;100
34;0;0;9;0;1;1;400
35;0;0;2;1;1;2;200
36;1;0;2;0;2;1;100
37;0;0;4;0;1;1;100
38;0;0;4;0;1;1;200
39;0;0;1;0;2;1;300
40;0;0;2;0;2;1;200
41;0;0;1;0;2;3;1000
42;1;1;1;0;1;1;90
43;0;0;1;0;2;1;300
44;0;0;1;0;2;1;200
45;0;0;2;0;1;1;300
46;0;0;2;1;2;1;100
47;0;0;7;0;2;1;200
48;1;0;9;0;1;1;300
49;0;0;5;0;1;1;600
50;0;0;1;0;2;2;200
51;0;0;1;0;1;1;100
52;0;0;1;0;2;1;100
53;1;0;2;1;1;4;1000
54;1;0;1;0;1;1;500
55;0;1;1;0;2;1;100
56;0;1;1;0;2;1;100
57;1;0;7;0;2;1;400
58;0;0;1;0;1;1;300
59;0;0;2;1;1;2;400
60;0;0;2;0;1;3;800
61;0;0;1;1;2;1;400
62;1;0;1;0;1;1;100
63;0;0;1;0;2;1;100
64;0;0;5;0;1;1;300
65;0;0;1;1;2;2;800
66;1;0;1;1;1;1;200
67;0;0;7;0;2;1;400
68;0;0;3;0;1;2;100
69;0;0;1;0;2;1;200
70;0;0;1;1;2;1;300
71;1;0;2;0;1;1;200
72;1;0;3;0;2;2;500
73;0;0;2;1;2;1;400
74;0;0;1;1;1;1;100
75;0;0;1;1;2;1;100
76;1;1;9;1;1;1;200
77;0;0;1;0;1;1;90
78;1;0;3;0;1;2;400
79;0;1;1;0;2;1;100
80;1;0;1;0;1;1;100
81;0;0;2;1;2;4;700
82;0;0;2;0;2;7;2000
83;1;0;2;0;2;4;1000
84;0;0;2;1;1;1;300
85;1;1;1;1;1;10;4000
86;0;0;1;1;2;3;1000
87;0;0;5;1;2;2;200
88;0;0;2;0;2;2;200
89;0;0;1;0;1;1;200
90;1;0;1;0;2;1;200
91;0;0;1;0;2;2;200
92;1;0;1;0;2;1;400
93;0;0;1;0;3;2;200
94;0;0;1;0;1;1;300
95;0;0;1;0;1;1;200
96;1;0;1;0;1;1;100
97;0;0;1;0;1;2;500
98;1;0;1;0;1;1;500
99;1;0;3;0;2;2;700
100;0;0;1;0;1;1;200
101;0;0;3;0;2;1;300
102;1;1;9;1;1;1;100
103;1;0;2;0;2;1;200
104;1;0;1;0;1;1;100
105;0;0;6;1;2;4;1000
106;1;0;3;0;1;1;300
107;0;0;6;1;2;5;600
108;0;0;1;1;2;2;100
109;1;0;9;0;1;1;300
110;0;0;1;0;2;2;600
111;1;0;9;0;1;2;200
112;0;0;3;0;2;2;700
113;0;0;2;0;2;2;700
114;0;0;14;0;2;4;2000
115;1;0;2;0;1;1;300
116;0;0;1;1;3;3;300
117;0;0;5;0;1;1;400
118;0;0;1;0;1;1;400
119;0;0;1;1;1;2;1000
120;0;0;1;0;1;1;400
121;0;0;2;0;2;1;300
122;1;0;1;0;1;1;1000
123;0;0;2;0;1;1;100
124;1;0;2;1;1;1;100
125;1;0;1;0;1;1;400
126;0;0;2;1;1;2;200
127;0;0;3;0;2;1;200
128;0;0;1;0;2;1;100
129;0;0;1;0;2;1;100
130;0;0;2;1;2;1;800
131;1;0;1;0;1;1;300
132;1;0;1;0;1;2;300
133;1;0;1;0;1;2;100
134;0;0;1;0;1;1;100
135;0;0;1;0;1;3;300
136;0;0;4;0;2;1;100
137;0;0;1;0;2;1;300
138;1;0;4;0;1;1;100
139;0;0;2;0;1;1;400
140;0;0;1;0;3;1;200
141;1;0;1;1;1;1;300
142;1;0;3;0;2;3;400
143;0;1;4;0;2;1;100
144;1;0;1;0;1;1;200
145;0;0;2;0;1;1;100
146;0;0;1;0;1;1;90
147;0;0;4;0;1;1;200
148;0;0;2;0;2;1;400
149;1;0;3;1;3;1;300
150;0;0;2;0;2;3;900
151;0;0;1;0;3;1;300
152;0;0;1;0;2;1;300
153;1;0;3;0;1;1;100
154;0;0;14;0;1;1;300
155;0;0;1;0;2;1;100
156;0;0;2;0;2;1;300
157;0;0;14;0;3;4;1000
158;1;1;9;1;1;1;100
159;0;0;1;1;2;1;200
160;1;0;8;0;1;1;200
161;0;0;1;0;1;1;200
162;0;0;3;0;2;3;1000
163;0;0;5;1;2;7;1000
164;0;0;3;0;2;1;100
165;0;1;1;1;2;1;300
166;1;0;4;0;2;1;400
167;0;0;3;0;1;1;100
168;1;0;1;0;2;2;200
169;0;0;2;1;2;2;600
170;0;0;4;0;2;1;300
171;1;0;1;0;1;3;1000
172;0;0;2;0;2;2;600
173;0;0;1;1;3;2;600
174;1;0;1;0;1;1;100
175;0;0;1;0;1;2;700
176;0;0;2;0;1;1;1000
177;1;0;1;1;1;1;200
178;1;0;3;0;2;1;1000
179;1;0;2;0;1;1;300
180;1;0;3;1;2;1;300
181;0;0;2;1;2;1;100
182;0;0;6;1;2;2;1000
183;0;0;2;0;1;2;600
184;0;0;1;0;1;1;100
185;0;0;1;1;2;1;100
186;0;0;5;0;1;1;400
187;1;0;2;0;2;2;1000
188;1;0;3;1;2;2;500
189;0;0;2;0;1;1;400
190;1;0;2;0;1;1;400
191;0;0;2;0;2;1;100
192;1;0;2;0;1;1;200
193;1;0;1;0;1;1;90
194;0;0;3;0;1;1;100
195;0;0;8;0;1;1;300
196;1;0;9;0;1;1;100
197;0;0;4;0;1;1;300
198;0;0;1;1;2;1;400
199;0;0;1;1;2;1;100
200;1;0;2;0;1;1;400
201;1;0;3;0;2;1;1000
202;1;0;2;0;2;2;600
203;1;1;9;1;1;1;300
204;0;0;2;1;2;1;200
205;0;0;3;0;1;1;300
206;1;0;1;0;2;1;300
207;0;0;1;1;3;1;200
208;0;0;2;0;2;1;300
209;0;0;2;0;1;1;700
210;0;0;2;0;1;2;800
211;1;0;8;0;1;3;700
212;1;0;1;0;2;3;300
213;0;0;1;0;2;1;100
214;1;0;1;1;1;1;100
215;0;0;1;0;2;1;400
216;0;0;4;0;2;1;500
217;1;0;1;0;3;1;200
218;0;0;2;1;2;3;700
219;1;1;9;1;1;1;100
220;0;0;1;0;2;1;300
221;0;0;1;0;2;1;100
222;0;0;4;1;2;3;400
223;0;0;2;0;2;2;100
224;0;0;4;0;2;8;2000
225;0;0;4;0;2;1;200
226;1;0;2;0;1;1;90
227;0;0;3;0;1;2;100
228;0;0;1;1;2;1;500
229;1;0;1;0;1;2;300
230;0;0;1;1;2;1;400
231;0;0;6;1;2;3;900
232;0;0;1;0;2;1;300
233;0;0;5;0;1;1;200
234;0;1;1;0;1;1;100
235;1;0;1;1;1;1;400
236;0;0;1;1;2;1;300
237;0;0;2;0;2;1;100
238;0;0;1;0;2;1;100
239;1;0;5;1;1;1;100
240;0;0;5;1;2;1;200
241;0;0;1;0;2;1;600
242;0;0;2;0;2;1;300
243;0;0;3;1;2;2;900
244;1;0;3;0;1;1;300
245;0;0;1;0;1;1;100
246;0;0;1;1;2;1;200
247;0;0;3;1;2;3;700
248;0;0;1;0;2;1;300
249;1;0;4;0;2;2;400
250;1;0;2;0;1;6;2000
251;0;0;1;0;2;2;600
252;0;0;1;0;2;1;300
253;0;0;6;1;2;1;400
254;0;0;2;0;1;1;300
255;0;0;2;0;1;1;100
256;1;0;1;0;1;1;100
257;0;0;1;0;2;1;300
258;1;0;2;1;1;1;100
259;0;0;1;0;2;1;100
260;0;0;2;0;3;1;400
261;0;0;2;0;2;1;300
262;0;0;4;0;2;2;1000
263;1;0;6;1;2;4;1000
264;0;0;1;1;2;1;300
265;1;1;9;1;1;2;500
266;0;0;6;1;2;7;2000
267;0;0;1;1;3;4;700
268;0;0;1;0;2;4;1000
269;0;0;1;1;1;1;300
270;0;0;1;0;2;1;200
271;1;0;2;1;2;2;500
272;1;0;4;1;1;2;300
273;1;0;3;0;2;1;1000
274;1;0;1;0;1;1;300
275;1;0;1;0;1;1;200
276;1;0;1;0;1;1;300
277;0;0;1;1;2;1;200
278;0;0;2;1;1;1;100
279;0;0;2;0;1;1;1000
280;1;0;1;1;1;8;1000
281;0;0;14;0;2;6;1000
282;0;0;14;0;3;3;400
283;0;0;14;0;2;2;300
284;1;0;2;0;1;1;1000
285;1;0;4;0;2;2;400
286;0;0;1;1;2;1;100
287;0;0;1;0;2;1;400
288;0;0;1;0;2;1;100
289;1;0;1;0;2;1;400
290;0;0;3;0;1;1;90
291;0;0;2;1;2;1;500
292;1;0;1;1;1;1;300
293;1;0;1;0;1;1;90
294;1;0;2;0;2;1;300
295;0;0;4;0;2;1;200
296;0;0;1;1;2;1;100
297;1;0;1;0;1;1;100
298;0;0;5;0;2;2;500
299;0;0;1;0;2;3;200
300;1;0;1;0;1;5;1000
301;1;0;3;0;1;3;500
302;1;0;9;0;1;2;200
303;0;0;1;0;2;1;200
304;1;0;3;0;2;3;400
305;0;0;1;1;2;1;100
306;1;1;9;1;1;2;500
307;1;0;2;0;1;1;400
308;0;0;6;1;2;8;1000
309;0;0;1;0;2;1;100
310;0;0;1;0;4;9;2000
311;1;0;4;0;2;2;200
312;0;0;1;0;2;1;400
313;1;0;1;0;1;1;300
314;0;0;2;0;2;1;100
315;0;0;4;0;2;2;200
316;0;0;2;0;2;2;500
317;0;0;1;1;1;2;600
318;0;1;1;0;1;1;200
319;0;0;1;1;2;2;400
320;0;0;1;0;2;2;700
321;0;0;1;0;1;1;100
322;0;0;1;0;2;2;200
323;1;1;1;0;2;1;400
324;0;1;4;1;2;1;600
325;0;0;1;0;1;1;1000
326;1;0;4;0;2;2;200
327;0;0;3;0;2;1;300
328;0;0;1;0;2;1;200
329;0;0;1;0;1;1;100
330;1;0;8;0;1;3;800
331;0;1;4;1;2;2;300
332;0;0;1;0;2;1;100
333;0;0;2;1;2;1;500
334;0;0;1;0;2;2;300
335;1;0;8;0;1;1;400
336;0;0;4;0;2;1;100
337;0;0;2;0;1;1;300
338;1;0;1;1;2;1;100
339;0;0;1;0;2;1;200
340;1;0;1;0;1;1;100
341;0;0;1;0;1;3;500
342;0;0;3;1;2;3;1000
343;0;0;2;1;2;1;300
344;0;0;2;1;2;1;300
345;1;0;2;1;1;2;200
346;1;0;1;0;2;1;200
347;0;0;1;1;2;1;100
348;1;0;3;0;1;1;500
349;1;0;3;0;1;1;100
350;0;0;1;1;2;1;90
351;1;0;2;1;1;1;600
352;0;0;1;0;1;1;300
353;1;0;3;0;1;1;600
354;0;0;1;1;2;1;300
355;0;0;2;0;1;2;1000
356;0;0;1;1;1;1;300
357;1;0;2;1;1;1;100
358;0;0;1;0;2;1;500
359;0;0;1;1;2;3;1000
360;0;0;1;0;2;1;100
361;1;0;1;0;1;1;500
362;1;0;2;1;1;3;1000
363;0;0;1;0;1;1;100
364;0;0;6;1;2;10;2000
365;1;0;1;0;2;1;200
366;0;0;2;0;2;1;300
367;0;0;1;1;2;1;100
368;0;0;3;0;1;1;100
369;0;0;2;0;1;1;300
370;0;0;1;1;2;1;200
371;1;0;4;0;2;2;400
372;0;0;1;0;2;1;400
373;0;0;2;1;3;1;200
374;1;0;5;0;2;1;200
375;0;0;1;1;2;1;300
376;0;0;1;0;2;1;100
377;0;1;1;1;2;1;200
378;1;0;1;0;1;40;10000
379;0;0;1;0;2;3;1000
380;1;0;3;1;2;1;200
381;0;0;2;0;2;1;400
382;1;0;2;0;1;1;200
383;1;0;8;0;1;1;500
384;1;0;8;0;1;1;200
385;0;0;1;0;2;4;400
386;0;0;1;1;2;1;300
387;0;0;1;0;2;1;200
388;1;0;4;1;1;2;300
389;1;0;3;0;2;7;2000
390;0;0;1;0;1;1;400
391;0;0;1;1;2;1;500
392;1;0;3;1;2;1;500
393;1;1;9;1;1;2;500
394;1;0;2;0;2;1;300
395;0;0;3;0;1;1;100
396;0;0;1;0;2;1;500
397;1;0;1;0;3;1;90
398;1;0;3;1;1;1;600
399;1;0;1;0;1;2;200
400;1;0;1;0;1;1;300
401;0;0;2;0;2;1;500
402;0;0;1;1;3;1;200
403;1;0;1;0;1;1;100
404;0;0;2;0;2;1;300
405;0;1;1;1;2;1;200
406;0;0;1;1;2;1;200
407;0;0;1;0;2;3;300
408;0;0;2;0;2;1;300
409;0;0;3;1;2;1;100
410;0;0;3;0;2;3;400
411;0;0;2;0;2;1;100
412;1;0;3;1;2;1;500
413;0;0;5;0;1;3;1000
414;0;0;1;1;2;2;800
415;0;0;14;0;1;1;200
416;0;0;14;0;1;2;400
417;0;0;2;0;1;1;400
418;0;0;3;1;2;2;700
419;1;0;2;0;1;2;200
420;0;0;1;1;2;2;400
421;0;0;2;0;2;1;200
422;0;0;4;1;2;1;300
423;1;0;1;0;1;1;100
424;0;0;4;1;2;1;200
425;0;0;1;1;2;1;200
426;0;0;1;1;2;1;500
427;0;0;3;0;2;1;300
428;1;0;2;0;2;5;1000
429;1;0;2;1;1;2;600
430;1;0;3;0;2;7;2000
431;0;0;2;0;1;1;300
432;0;0;2;0;1;1;300
433;0;0;1;0;2;1;100
434;0;0;8;0;2;2;800
435;0;0;1;0;1;1;300
436;0;0;2;0;2;1;400
437;1;0;1;0;1;1;200
438;1;0;3;0;2;1;200
439;0;0;1;1;2;2;500
440;0;0;4;0;1;1;600
441;1;0;1;0;1;1;100
442;1;0;3;0;2;3;600
443;0;0;4;0;2;2;300
444;0;0;1;1;2;1;100
445;0;0;1;1;2;1;400
446;1;0;4;0;1;2;900
447;0;0;1;0;2;1;200
448;1;0;1;1;1;1;90
449;1;0;2;0;1;1;500
450;0;0;1;0;2;3;500
451;1;0;8;0;1;4;900
452;0;0;1;0;2;1;500
453;0;0;1;0;2;1;400
454;1;0;1;0;1;2;500
455;0;0;1;0;2;3;300
456;1;0;8;0;1;5;1000
457;0;0;1;0;2;1;400
458;0;0;1;1;1;1;100
459;0;0;1;1;3;1;300
460;1;0;4;1;1;1;200
461;1;0;6;1;1;1;100
462;1;0;1;0;1;30;10000
463;0;0;1;0;2;5;500
464;0;0;1;1;2;3;600
465;1;0;1;1;1;1;100
466;1;0;2;0;1;1;400
467;1;0;1;0;1;1;100
468;0;0;1;1;1;1;200
469;0;0;1;0;2;2;200
470;1;0;6;1;1;1;100
471;1;0;2;0;1;1;400
472;1;0;9;0;1;2;200
473;0;0;1;0;2;1;100
474;0;0;9;0;2;2;200
475;1;0;2;1;2;1;100
476;0;0;1;0;2;1;300
477;1;0;2;0;1;1;100
478;0;0;1;1;2;1;100
479;0;0;1;1;2;1;800
480;0;0;1;0;2;1;100
481;0;0;1;0;2;1;400
482;0;0;7;0;2;1;100
483;0;0;1;0;2;1;600
484;1;0;1;1;2;3;800
485;0;0;2;1;2;1;100
486;0;0;1;0;1;1;100
487;1;0;2;1;1;1;100
488;0;0;2;1;2;1;300
489;0;0;1;1;2;8;1000
490;0;0;1;0;1;1;100
491;1;0;2;0;2;1;100
492;1;0;2;0;3;2;200
493;0;1;2;1;2;1;200
494;0;0;5;1;2;2;500
495;1;0;2;0;3;2;200
496;0;0;1;1;2;1;100
497;0;1;1;0;1;1;400
498;0;0;1;0;1;1;100
499;1;0;3;0;2;7;2000
500;0;0;1;0;2;1;100
501;0;0;1;0;2;1;100
502;0;0;2;1;3;1;300
503;0;0;2;0;1;1;300
504;0;0;2;0;1;2;200
505;0;0;1;0;2;1;100
506;1;0;1;0;2;4;1000
507;0;0;1;0;2;7;600
508;0;1;2;0;1;1;600
509;0;0;1;0;1;9;1000
510;1;0;3;0;2;3;600
511;0;0;4;0;2;1;100
512;0;0;2;0;1;1;100
513;0;0;1;0;2;1;200
514;0;0;1;0;2;1;300
515;0;0;6;1;2;4;1000
516;0;0;2;0;2;1;200
517;0;0;1;0;2;1;300
518;0;0;1;0;2;1;300
519;0;0;1;1;1;2;500
520;1;0;2;0;2;1;300
521;0;0;1;0;1;1;300
522;0;0;1;0;2;1;300
523;0;0;1;1;1;1;100
524;1;0;1;1;3;1;400
525;0;0;1;1;2;3;400
526;0;0;1;0;1;1;500
527;0;0;2;1;1;1;200
528;1;0;1;0;2;2;1000
529;0;0;2;0;2;1;100
530;0;0;2;0;2;1;400
531;0;0;1;0;2;1;100
532;0;0;2;0;2;1;300
533;0;0;1;1;2;1;100
534;1;0;2;0;2;1;100
535;0;0;1;0;1;2;100
536;0;0;2;1;2;2;300
537;0;1;1;1;2;1;200
538;0;0;2;1;1;1;200
539;0;0;6;1;1;1;100
540;0;0;1;0;1;1;500
541;0;0;2;0;2;1;100
542;0;0;3;0;1;2;300
543;0;0;1;0;2;3;400
544;0;0;1;0;2;1;1000
545;0;0;1;0;1;1;100
546;0;0;1;1;2;1;300
547;0;0;3;0;1;1;200
548;0;0;1;0;1;7;3000
549;0;0;2;1;2;1;300
550;0;0;2;1;2;1;300
551;0;0;1;0;1;1;400
552;0;0;1;1;2;3;200
553;0;0;2;0;1;1;500
554;0;0;4;1;1;2;200
555;0;0;1;0;2;1;300
556;0;0;1;0;2;1;200
557;0;0;1;0;1;7;2000
558;0;0;4;0;2;2;400
559;0;0;1;0;1;1;300
560;1;0;3;1;3;1;400
561;1;0;9;0;2;1;100
562;0;0;4;0;1;1;200
563;0;0;1;1;1;9;1000
564;0;0;1;0;1;1;300
565;0;0;2;0;2;1;300
566;0;0;2;0;1;1;100
567;1;0;9;0;2;1;100
568;0;0;1;0;2;2;600
569;0;0;4;1;1;2;200
570;0;0;9;0;2;1;100
571;0;0;1;0;1;1;200
572;0;0;14;0;1;1;200
573;0;0;1;0;2;1;100
574;0;0;1;1;2;1;100
575;0;0;4;1;1;1;200
576;0;0;1;0;1;1;300
577;0;0;1;0;2;1;100
578;0;0;1;0;2;1;100
579;0;0;3;1;1;1;300
580;0;0;1;0;1;4;2000
581;0;0;2;1;1;1;600
582;0;0;1;0;2;1;300
583;1;1;1;1;3;1;400
584;0;0;3;1;1;1;500
585;0;0;1;1;2;2;300
586;0;0;1;0;1;2;400
587;0;0;1;0;2;2;100
588;0;0;2;1;1;1;90
589;0;0;1;1;2;1;100
590;0;0;1;1;2;1;300
591;1;0;9;0;2;1;100
592;0;0;1;0;1;1;300
593;0;0;1;0;2;1;500
594;0;0;6;1;1;1;100
595;0;0;1;1;1;1;100
596;0;0;3;1;2;2;300
597;0;0;1;0;1;5;1000
598;0;0;1;0;1;1;300
599;0;0;1;0;4;1;200
600;0;0;1;0;1;4;1000
601;0;1;4;1;3;1;300
602;0;0;1;0;1;1;100
603;0;0;1;0;1;1;400
604;0;0;2;1;1;1;200
605;0;0;1;1;2;2;1000
606;0;0;1;0;2;4;400
607;0;0;1;1;1;1;100
608;0;0;3;1;2;3;300
609;0;0;1;1;4;2;700
610;0;0;1;0;1;1;300
611;0;0;1;0;2;2;200
612;0;0;14;0;1;1;200
613;0;0;8;0;1;1;400
614;0;0;14;0;1;2;800
615;0;0;2;1;1;1;100
616;0;0;1;1;1;1;100
617;0;0;4;0;1;1;600
618;0;1;1;0;1;1;100
619;0;0;9;0;2;1;100
620;0;0;1;0;1;1;100
621;0;1;1;0;2;1;400
622;0;0;2;0;2;1;100
623;0;0;1;0;2;2;800
624;0;0;8;0;2;1;300
625;0;0;1;0;1;1;300
626;0;0;1;1;1;1;200
627;0;0;4;0;2;3;1000
628;0;0;4;0;2;6;1000
629;0;0;1;0;1;2;600
630;0;0;1;0;2;1;200
631;1;0;8;0;2;1;300
632;0;0;6;1;2;3;1000
633;0;0;7;0;2;1;100
634;0;0;9;0;1;1;200
635;0;0;1;0;4;1;500
636;0;1;2;0;1;1;600
637;0;0;2;0;1;2;200
638;0;0;1;1;1;1;200
639;0;0;2;0;2;2;600
640;0;0;2;0;2;1;600
641;1;0;2;0;2;1;600
642;0;0;14;0;1;1;400
643;0;0;2;0;2;1;200
644;0;0;2;0;1;7;2000
645;0;0;1;0;1;1;100
646;0;0;1;0;2;1;500
647;0;0;6;1;1;1;1000
648;0;0;1;0;2;1;100
649;1;0;3;0;2;2;300
650;0;0;3;0;1;1;100
651;0;0;14;0;1;1;100
652;0;0;1;0;2;1;400
653;0;0;8;0;1;1;400
654;1;0;9;0;2;3;500
655;0;0;1;0;2;1;200
656;0;0;1;0;2;3;400
657;0;0;1;1;2;5;400
658;1;0;1;0;2;1;400
659;0;0;1;0;3;2;400
660;0;0;4;0;1;3;400
661;0;0;1;0;1;3;900
662;0;0;1;0;2;3;400
663;0;0;5;0;1;4;1000
664;0;0;2;0;2;2;100
665;0;0;1;0;2;2;400
666;0;0;1;0;2;2;200
667;0;0;2;1;2;3;600
668;0;0;1;0;2;2;400
669;1;0;1;0;2;1;100
670;0;0;2;0;2;1;100
671;1;0;4;0;2;2;1000
672;1;0;4;0;2;1;200
673;1;0;4;0;2;1;200
674;0;0;1;0;2;1;300
675;0;0;1;0;2;3;1000
676;0;0;9;0;2;3;400
677;1;0;4;0;2;1;500
678;0;0;1;1;2;3;700
679;0;0;1;0;1;4;500
680;0;0;1;0;1;1;400
681;0;0;1;0;2;2;600
682;0;0;1;0;1;1;100
683;0;0;9;0;1;1;300
684;0;0;9;0;1;1;100
685;0;0;1;0;2;2;500
686;0;1;9;1;1;2;200
687;0;0;2;0;1;2;400
688;0;0;2;0;2;2;600
689;0;1;2;1;2;1;400
690;0;0;8;0;1;3;500
691;0;0;7;0;2;1;400
692;0;0;1;1;2;3;400
693;0;0;1;1;1;1;300
694;0;1;1;0;1;5;700
695;0;0;1;0;2;2;500
696;0;0;1;0;2;1;600
697;0;0;3;1;2;4;400
698;0;0;3;1;2;1;100
699;0;0;1;0;2;2;100
700;0;0;1;0;2;6;1000
701;0;0;3;0;2;2;300
702;0;0;2;0;2;6;1000
703;0;1;1;0;2;1;200
704;0;0;4;0;1;2;1000
705;0;0;1;0;2;3;90
706;0;0;1;0;2;2;400
707;0;0;2;0;1;9;2000
708;0;0;2;0;2;1;100
709;0;0;1;0;2;1;100
710;0;0;1;0;1;1;200
711;0;0;6;1;2;1;100
712;0;0;1;0;1;1;100
713;0;0;1;1;2;1;100
714;0;0;1;0;1;1;100
715;0;0;6;1;1;1;100
716;0;0;5;0;1;6;1000
717;0;0;1;0;1;2;500
718;0;0;3;1;2;5;1000
719;0;0;1;0;2;3;300
720;0;0;1;1;2;1;400
721;1;0;1;0;2;1;200
722;0;0;1;0;2;2;400
723;0;0;3;1;1;1;300
724;0;0;1;0;1;1;500
725;0;0;1;0;2;2;400
726;0;0;3;1;1;1;400
727;0;0;1;1;2;2;600
728;0;0;1;0;2;2;400
729;0;0;1;0;2;1;300
730;0;0;1;1;1;1;100
